code,name,unit,igroup,
NY.GDP.MKTP.CD,GDP (current US$),USD,economy,
EN.ATM.CO2E.PC,CO₂ emissions (metric tons per capita),tons/person,environment,
AG.LND.FRST.ZS,Forest area (% of land area),percent,environment,
EN.ATM.PM25.MC.M3,PM2.5 air pollution (μg/m³),μg/m³,environment,
,,,,
POL.EPS,Environmental Policy Stringency Index,index,policy,
POL.CO2TAX,Carbon dioxide (CO₂) tax,index,policy,
POL.NOX,Nitrogen oxides (NOx) tax,index,policy,
POL.SOX,Sulphur oxides (SOx) tax,index,policy,
POL.RETR,Renewable energy trading scheme,index,policy,
POL.WIND,Wind energy support (auctions & FITs),index,policy,
POL.SOLAR,Solar energy support (auctions & FITs),index,policy,
POL.TECH,Technology support policies,index,policy,
POL.NONMARK,Non-market based policies,index,policy,
POL.MARKET,Market based policies,index,policy,
POL.EML_NOX,Emission limit value – NOx,index,policy,
POL.EML_SOX,Emission limit value – SOx,index,policy,
POL.EML_PM,Emission limit value – PM,index,policy,
POL.DIESEL,Diesel tax,index,policy,
POL.CO2ETS,CO₂ trading scheme,index,policy,
POL.EML_SULPHUR,Emission limit value – sulphur,index,policy,
POL.RND_LOWCARB,Low-carbon R&D expenditures,index,policy,
